main 2020-10-23 20:16:58,414 INFO  *********************Log4j2 Instantiated**************************
main 2020-10-23 20:16:58,417 DEBUG db.driver : com.mysql.jdbc.Driver
main 2020-10-23 20:16:58,417 DEBUG db.url : jdbc:mysql://localhost:3306/db1
main 2020-10-23 20:16:58,417 DEBUG db.username : root
main 2020-10-23 20:16:58,417 DEBUG db.password : root
main 2020-10-23 20:16:58,417 DEBUG db.filename : applicationLog4j2.xml
main 2020-10-23 20:16:58,417 INFO  properties file loaded
main 2020-10-23 20:16:58,417 DEBUG app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
main 2020-10-23 20:16:58,418 INFO  *******************Main start*******************
main 2020-10-23 20:16:58,419 INFO  *******************Main end*******************
Thread-4 2020-10-23 20:16:58,508 INFO  MOVIElog   48:47,939 MOVIElog    *********************Log4j2 Instantiated**************************
Thread-3 2020-10-23 20:16:58,509 INFO  DBLog  48:47,939 DBLog   *********************Log4j2 Instantiated**************************
Thread-4 2020-10-23 20:16:58,509 INFO  MOVIElog   48:47,942 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,508 INFO  APPlog   48:47,939 APPlog    *********************Log4j2 Instantiated**************************
Thread-4 2020-10-23 20:16:58,509 INFO  MOVIElog   48:47,942 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,509 INFO  CATLog  48:47,939 CATLog   *********************Log4j2 Instantiated**************************
Thread-1 2020-10-23 20:16:58,509 INFO  APPlog   48:47,942 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,509 INFO  MOVIElog   48:47,942 MOVIElog   db.password : root
Thread-2 2020-10-23 20:16:58,509 INFO  CATLog  48:47,942 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,509 INFO  DBLog  48:47,942 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,509 INFO  APPlog   48:47,942 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,509 INFO  CATLog  48:47,942 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-3 2020-10-23 20:16:58,509 INFO  DBLog  48:47,942 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,509 INFO  MOVIElog   48:47,942 MOVIElog   db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,509 INFO  CATLog  48:47,942 CATLog  db.password : root
Thread-1 2020-10-23 20:16:58,509 INFO  APPlog   48:47,942 APPlog   db.password : root
Thread-3 2020-10-23 20:16:58,509 INFO  DBLog  48:47,942 DBLog  db.password : root
Thread-2 2020-10-23 20:16:58,509 INFO  CATLog  48:47,942 CATLog  db.filename : applicationLog4j2.xml
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   48:47,942 MOVIElog    properties file loaded
Thread-1 2020-10-23 20:16:58,510 INFO  APPlog   48:47,942 APPlog   db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,510 INFO  CATLog  48:47,942 CATLog   properties file loaded
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  48:47,942 DBLog  db.filename : applicationLog4j2.xml
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   48:47,942 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,510 INFO  CATLog  48:47,942 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  48:47,942 DBLog   properties file loaded
Thread-2 2020-10-23 20:16:58,510 INFO  CATLog  48:47,942 CATLog   *******************Main start*******************
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  48:47,942 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   48:47,942 MOVIElog    *******************Main start*******************
Thread-1 2020-10-23 20:16:58,510 INFO  APPlog   48:47,942 APPlog    properties file loaded
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  48:47,942 DBLog   *******************Main start*******************
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   48:47,989 MOVIElog    *******************Main end*******************
Thread-1 2020-10-23 20:16:58,510 INFO  APPlog   48:47,942 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  48:47,989 DBLog   *******************Main end*******************
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   36,100 MOVIElog    *********************Log4j2 Instantiated**************************
Thread-2 2020-10-23 20:16:58,510 INFO  CATLog  48:47,989 CATLog   *******************Main end*******************
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  36,100 DBLog   *********************Log4j2 Instantiated**************************
Thread-1 2020-10-23 20:16:58,510 INFO  APPlog   48:47,942 APPlog    *******************Main start*******************
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   36,103 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  36,103 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,510 INFO  APPlog   48:47,989 APPlog    *******************Main end*******************
Thread-3 2020-10-23 20:16:58,510 INFO  DBLog  36,103 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,510 INFO  CATLog  36,100 CATLog   *********************Log4j2 Instantiated**************************
Thread-1 2020-10-23 20:16:58,510 INFO  APPlog   36,100 APPlog    *********************Log4j2 Instantiated**************************
Thread-4 2020-10-23 20:16:58,510 INFO  MOVIElog   36,103 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,511 INFO  MOVIElog   36,103 MOVIElog   db.username : root
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,511 INFO  MOVIElog   36,103 MOVIElog   db.password : root
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog   db.username : root
Thread-4 2020-10-23 20:16:58,511 INFO  MOVIElog   36,103 MOVIElog   db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog   db.password : root
Thread-3 2020-10-23 20:16:58,511 INFO  DBLog  36,103 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog   db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,511 INFO  DBLog  36,103 DBLog  db.password : root
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog    properties file loaded
Thread-3 2020-10-23 20:16:58,511 INFO  DBLog  36,103 DBLog  db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,103 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,511 INFO  DBLog  36,103 DBLog   properties file loaded
Thread-1 2020-10-23 20:16:58,511 INFO  APPlog   36,104 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,511 INFO  DBLog  36,103 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   db.url : jdbc:mysql://localhost:3306/db1
